,solutions,shortSolutions,shortHints
0,"{'square': [[2, 3, 4, 1], [1, 4, 2, 3], [4, 1, 3, 2], [3, 2, 1, 4]]}",2341142341323214,2300000000000000
1,"{'square': [[1, 2, 4, 3], [4, 3, 1, 2], [3, 1, 2, 4], [2, 4, 3, 1]]}",1243431231242431,1200000000000000
2,"{'square': [[4, 2, 1, 3], [1, 3, 4, 2], [3, 1, 2, 4], [2, 4, 3, 1]]}",4213134231242431,4200000000000000
3,"{'square': [[4, 2, 1, 3], [3, 1, 4, 2], [1, 3, 2, 4], [2, 4, 3, 1]]}",4213314213242431,4200000000000000
4,"{'square': [[3, 2, 4, 1], [1, 3, 2, 4], [4, 1, 3, 2], [2, 4, 1, 3]]}",3241132441322413,3200000000000000
5,"{'square': [[4, 1, 3, 2], [3, 2, 4, 1], [1, 3, 2, 4], [2, 4, 1, 3]]}",4132324113242413,4100000000000000
6,"{'square': [[4, 1, 3, 2], [3, 2, 4, 1], [1, 3, 2, 4], [2, 4, 1, 3]]}",4132324113242413,4100000000000000
7,"{'square': [[4, 1, 3, 2], [3, 2, 4, 1], [1, 3, 2, 4], [2, 4, 1, 3]]}",4132324113242413,4100000000000000
8,"{'square': [[4, 1, 2, 3], [2, 3, 4, 1], [1, 2, 3, 4], [3, 4, 1, 2]]}",4123234112343412,4100000000000000
9,"{'square': [[3, 1, 2, 4], [1, 3, 4, 2], [4, 2, 3, 1], [2, 4, 1, 3]]}",3124134242312413,3100000000000000
